线下期末考,线上平时成绩,线上期末考,线上章测试,线下互动,班级_Sheet7,班级_Sheet5,班级_Sheet6,班级_Sheet3,班级_Sheet2,班级_Sheet4,总成绩(线上+线下)
48,40.0,36,10,75.0,0,0,0,0,0,1,73.0
38,48.0,40,10,70.0,0,0,0,0,0,1,77.0
78,40.0,40,10,88.2,0,0,0,1,0,0,86.0
60,46.0,38,10,75.0,0,0,0,0,0,1,82.0
50,40.0,40,10,70.0,1,0,0,0,0,0,76.0
84,46.0,38,10,59.5,0,0,0,1,0,0,88.0
58,41.0,37,9,75.0,0,0,0,0,0,1,77.0
80,49.0,40,10,70.5,0,1,0,0,0,0,91.0
60,40.0,39,10,60.0,0,0,0,0,1,0,77.0
52,49.0,40,10,70.0,0,0,1,0,0,0,82.0
100,50.0,40,10,100.0,0,1,0,0,0,0,100.0
56,33.0,39,10,90.0,0,0,1,0,0,0,74.0
72,49.0,40,10,70.0,0,0,1,0,0,0,88.0
88,40.0,38,4,74.0,0,1,0,0,0,0,83.0
38,32.0,39,6,60.0,0,0,0,0,1,0,63.0
78,49.0,38,9,80.0,0,0,1,0,0,0,89.0
50,48.0,40,10,60.0,0,0,0,0,1,0,80.0
84,40.0,38,10,70.0,0,0,1,0,0,0,85.0
78,49.0,40,10,70.0,0,0,0,0,0,0,90.0
46,49.0,40,10,77.6,0,0,0,1,0,0,80.0
80,30.0,35,6,76.2,0,0,0,1,0,0,68.0
24,49.0,38,10,70.0,0,0,1,0,0,0,71.0
60,44.0,38,9,90.0,0,0,0,0,0,0,81.0
78,49.0,40,10,90.0,1,0,0,0,0,0,92.0
76,46.0,39,10,56.0,0,1,0,0,0,0,86.0
88,49.0,39,10,60.0,0,0,0,0,0,0,92.0
66,46.0,38,10,70.0,0,0,0,0,0,1,83.0
38,49.0,38,10,90.0,1,0,0,0,0,0,78.0
78,44.0,40,9,90.0,0,0,1,0,0,0,88.0
64,41.0,38,10,85.4,0,0,0,1,0,0,81.0
80,49.0,40,10,70.0,0,0,0,0,0,0,91.0
56,46.0,37,10,75.0,0,0,0,0,0,1,80.0
80,49.0,40,10,90.0,0,0,0,0,0,0,92.0
44,43.0,39,9,75.0,0,0,0,0,0,1,75.0
82,48.0,39,10,70.0,0,0,1,0,0,0,90.0
50,40.0,40,8,70.0,0,0,1,0,0,0,74.0
40,42.0,38,9,75.0,0,0,0,0,0,1,72.0
52,41.0,36,10,60.0,0,0,0,0,1,0,74.0
48,48.0,35,10,100.0,0,1,0,0,0,0,58.0
38,49.0,38,10,90.0,0,0,0,0,0,0,78.0
68,40.0,38,9,60.0,0,0,0,0,1,0,79.0
38,41.0,40,9,85.0,0,0,0,0,0,1,73.0
42,49.0,38,10,49.0,0,0,0,1,0,0,76.0
82,39.0,40,10,70.0,0,0,1,0,0,0,85.0
82,49.0,40,10,80.0,0,0,0,0,0,0,92.0
70,49.0,40,10,70.0,0,0,1,0,0,0,87.0
74,48.0,40,10,90.0,0,0,0,0,0,0,90.0
76,49.0,40,10,80.0,0,0,0,0,0,0,90.0
70,49.0,38,10,78.8,0,0,0,1,0,0,87.0
72,49.0,36,10,60.0,0,0,0,0,1,0,85.0
50,46.0,38,10,75.0,0,0,0,0,0,1,78.0
48,49.0,39,10,70.0,0,0,1,0,0,0,80.0
62,42.0,38,9,60.0,0,0,0,0,1,0,78.0
50,30.0,35,6,30.0,0,0,0,0,0,1,55.5
72,49.0,38,10,80.0,0,0,1,0,0,0,88.0
62,49.0,40,10,90.0,0,0,0,0,0,0,86.0
40,40.0,38,10,70.0,0,0,0,0,0,1,71.0
54,40.0,38,8,75.0,0,0,0,0,0,1,75.0
60,49.0,40,10,56.0,0,1,0,0,0,0,83.0
70,36.0,38,10,60.0,0,0,0,0,0,0,78.0
30,42.0,40,9,85.0,0,0,0,0,1,0,71.0
44,49.0,40,10,90.0,0,0,0,0,0,0,81.0
82,45.0,40,10,81.1,0,0,0,1,0,0,90.0
92,44.0,38,10,90.0,0,0,0,0,0,0,92.0
78,49.0,40,10,90.0,1,0,0,0,0,0,92.0
86,49.0,37,10,74.0,0,1,0,0,0,0,91.0
56,49.0,39,10,70.0,0,0,0,0,0,0,82.0
48,41.0,40,9,81.2,0,0,0,1,0,0,76.0
50,44.0,36,10,62.0,0,1,0,0,0,0,75.0
46,44.0,38,10,85.0,0,0,0,0,1,0,77.0
74,43.0,38,10,60.0,0,0,0,0,1,0,83.0
84,49.0,38,10,70.0,0,0,1,0,0,0,91.0
3,30.0,35,6,60.0,0,0,1,0,0,0,55.5
72,49.0,40,10,70.0,0,0,0,0,0,0,88.0
48,43.0,38,9,70.0,0,0,0,0,0,1,75.0
78,44.0,40,10,75.0,0,0,0,0,0,1,87.0
84,49.0,40,10,90.0,0,0,0,0,0,0,93.0
56,41.0,38,10,60.0,0,0,0,0,0,0,76.0
88,49.0,38,10,90.9,0,0,0,1,0,0,94.0
48,46.0,37,8,60.0,1,0,0,0,0,0,75.0
32,37.0,35,10,50.0,0,0,0,0,1,0,62.0
90,40.0,38,10,80.0,0,0,0,0,0,0,88.0
54,42.0,39,10,84.7,0,0,0,1,0,0,79.0
84,49.0,40,10,90.0,1,0,0,0,0,0,93.0
78,42.0,38,10,60.0,0,0,0,0,1,0,84.0
60,36.0,39,9,60.0,0,0,0,0,1,0,74.0
34,33.0,37,7,75.0,0,0,0,0,0,1,63.0
62,40.0,38,10,49.0,0,0,0,1,0,0,77.0
82,44.0,40,9,90.0,0,0,1,0,0,0,89.0
80,44.0,36,10,56.0,0,1,0,0,0,0,84.0
76,49.0,40,10,85.0,0,0,0,0,1,0,91.0
88,49.0,40,10,74.0,0,1,0,0,0,0,93.0
60,40.0,39,8,70.0,0,0,1,0,0,0,77.0
42,49.0,38,10,77.6,0,0,0,1,0,0,78.0
40,46.0,36,10,70.0,0,0,0,0,0,1,74.0
72,40.0,39,10,70.0,1,0,0,0,0,0,82.0
74,49.0,38,9,80.0,1,0,0,0,0,0,88.0
62,34.0,36,8,60.0,0,0,0,0,1,0,71.0
82,49.0,40,10,56.0,0,1,0,0,0,0,90.0
66,43.0,38,10,60.0,0,0,0,0,1,0,81.0
60,47.0,38,10,74.0,0,1,0,0,0,0,82.0
56,39.0,38,6,63.6,0,0,0,1,0,0,73.0
84,49.0,40,10,90.0,1,0,0,0,0,0,93.0
82,49.0,39,10,70.0,0,0,1,0,0,0,91.0
82,49.0,39,10,42.0,0,0,0,1,0,0,88.0
36,44.0,39,10,77.6,0,0,0,1,0,0,74.0
46,44.0,39,10,60.0,0,0,0,0,1,0,75.0
40,40.0,38,10,60.0,0,0,0,0,1,0,70.0
68,49.0,40,10,90.0,0,0,1,0,0,0,88.0
58,40.0,38,9,60.0,0,0,0,0,1,0,76.0
60,45.0,38,10,85.0,0,0,0,0,1,0,82.0
90,48.0,40,10,88.2,0,0,0,1,0,0,95.0
74,48.0,40,10,90.0,1,0,0,0,0,0,90.0
31,30.0,35,6,70.0,0,0,0,0,0,1,55.5
48,49.0,37,10,60.0,0,0,0,0,1,0,78.0
52,43.0,38,10,60.0,0,0,0,0,1,0,76.0
76,47.0,39,10,82.6,0,0,0,1,0,0,89.0
66,42.0,39,10,63.6,0,0,0,1,0,0,81.0
54,45.0,38,10,66.7,0,0,0,1,0,0,78.0
36,40.0,37,9,42.0,0,0,0,1,0,0,66.0
40,47.0,38,10,60.0,0,0,0,0,1,0,75.0
32,46.0,38,10,75.0,0,0,0,0,0,1,73.0
64,42.0,39,10,49.0,0,0,0,1,0,0,79.0
72,49.0,40,10,70.0,1,0,0,0,0,0,88.0
64,39.0,40,9,85.0,0,0,0,0,1,0,80.0
92,48.0,39,10,74.0,0,1,0,0,0,0,94.0
58,49.0,40,10,90.0,0,0,1,0,0,0,85.0
36,40.0,39,10,75.0,0,0,0,0,0,1,71.0
80,49.0,38,10,56.0,0,1,0,0,0,0,88.0
44,49.0,39,10,60.0,0,0,1,0,0,0,78.0
54,31.0,36,9,56.0,0,1,0,0,0,0,67.0
46,44.0,36,10,70.0,0,0,0,0,0,1,74.0
80,49.0,40,10,70.0,1,0,0,0,0,0,91.0
54,49.0,40,10,80.0,0,0,1,0,0,0,83.0
72,49.0,38,10,80.0,0,0,1,0,0,0,88.0
62,40.0,40,10,70.0,0,0,0,0,0,1,79.0
76,40.0,35,10,70.0,0,0,0,0,0,0,80.0
56,40.0,37,9,42.0,0,0,0,1,0,0,73.0
48,40.0,38,4,60.0,0,0,0,0,1,0,69.0
86,49.0,40,10,70.0,0,1,0,0,0,0,93.0
90,40.0,38,10,80.0,1,0,0,0,0,0,88.0
46,40.0,35,9,70.0,0,0,0,0,0,1,66.0
60,48.0,37,10,60.0,0,1,0,0,0,0,81.0
70,49.0,38,10,60.0,0,0,0,0,0,0,85.0
56,41.0,39,10,60.0,1,0,0,0,0,0,77.0
88,41.0,40,10,60.0,0,0,0,0,1,0,88.0
68,44.0,38,10,85.0,0,0,0,0,1,0,84.0
62,41.0,39,10,70.0,0,0,1,0,0,0,79.0
78,41.0,40,10,90.0,0,0,0,0,0,0,87.0
88,47.0,39,10,67.0,0,1,0,0,0,0,91.0
86,49.0,39,10,74.0,0,1,0,0,0,0,92.0
74,46.0,39,10,74.0,0,1,0,0,0,0,87.0
72,40.0,38,10,77.6,0,0,0,1,0,0,82.0
31,30.0,35,6,70.0,0,0,0,1,0,0,55.5
80,49.0,39,10,80.0,0,0,1,0,0,0,91.0
72,40.0,39,10,70.0,0,0,0,0,0,0,82.0
32,43.0,37,10,70.0,0,0,0,0,0,1,70.0
58,43.0,38,10,77.6,0,0,0,1,0,0,79.0
78,49.0,40,10,70.0,0,0,1,0,0,0,90.0
74,47.0,38,10,60.0,0,0,0,0,1,0,85.0
76,33.0,38,5,70.0,0,0,1,0,0,0,76.0
64,43.0,38,10,60.0,0,0,0,0,1,0,80.0
64,33.0,38,9,75.0,0,0,0,0,0,1,74.0
76,49.0,38,10,80.0,1,0,0,0,0,0,89.0
80,46.0,38,10,60.0,0,0,0,0,1,0,87.0
84,49.0,38,10,49.0,0,1,0,0,0,0,89.0
68,49.0,40,10,60.0,0,0,0,0,1,0,86.0
46,45.0,38,10,60.0,0,0,0,0,1,0,75.0
62,42.0,39,10,63.6,0,0,0,1,0,0,80.0
38,49.0,38,10,90.0,0,0,1,0,0,0,78.0
54,37.0,40,9,60.0,0,0,0,0,1,0,74.0
80,40.0,38,9,74.0,0,1,0,0,0,0,84.0
42,45.0,38,10,60.0,0,0,0,0,1,0,74.0
84,48.0,38,10,84.7,0,0,0,1,0,0,91.0
44,49.0,38,10,77.6,0,0,0,1,0,0,78.0
80,34.0,35,10,30.0,0,0,0,0,0,1,65.0
